Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
1572065411,551,cuModuleGetLoadingMode,0,1,15766,15766,20,darknet
1671749142,167759,cudaGetDeviceProperties_v2_v12000,0,127,15766,15766,20,darknet
1671966732,163261,cudaMalloc,0,129,15766,15766,20,darknet
1672140201,30797,cudaStreamCreateWithFlags,0,133,15766,15766,20,darknet
1672173412,35345,cudaMemcpyAsync,0,134,15766,15766,20,darknet
1672209479,5139,cudaMalloc,0,136,15766,15766,20,darknet
1672215450,4338,cudaMemcpyAsync,0,140,15766,15766,20,darknet
1672220128,81911,cudaMalloc,0,142,15766,15766,20,darknet
1672303472,7263108,cudaMemcpyAsync,0,146,15766,15766,20,darknet
1679568353,12533,cudaMalloc,0,148,15766,15766,20,darknet
1679582550,4498,cudaMemcpyAsync,0,152,15766,15766,20,darknet
1679587278,2084,cudaMalloc,0,154,15766,15766,20,darknet
1679589633,1612,cudaMalloc,0,156,15766,15766,20,darknet
1681730460,2024,cuGetProcAddress_v2,0,160,15766,15766,20,darknet
1681732604,882,cuGetProcAddress_v2,0,161,15766,15766,20,darknet
1681733796,451,cuGetProcAddress_v2,0,162,15766,15766,20,darknet
1681734477,81,cuGetProcAddress_v2,0,163,15766,15766,20,darknet
1681734618,521,cuGetProcAddress_v2,0,164,15766,15766,20,darknet
1681735199,511,cuGetProcAddress_v2,0,165,15766,15766,20,darknet
1681735770,411,cuGetProcAddress_v2,0,166,15766,15766,20,darknet
1681736251,521,cuGetProcAddress_v2,0,167,15766,15766,20,darknet
1681736832,501,cuGetProcAddress_v2,0,168,15766,15766,20,darknet
1681737393,501,cuGetProcAddress_v2,0,169,15766,15766,20,darknet
1681737954,521,cuGetProcAddress_v2,0,170,15766,15766,20,darknet
1681738535,320,cuGetProcAddress_v2,0,171,15766,15766,20,darknet
1681738986,290,cuGetProcAddress_v2,0,172,15766,15766,20,darknet
1681739406,541,cuGetProcAddress_v2,0,173,15766,15766,20,darknet
1681740078,671,cuGetProcAddress_v2,0,174,15766,15766,20,darknet
1681740809,421,cuGetProcAddress_v2,0,175,15766,15766,20,darknet
1681741360,651,cuGetProcAddress_v2,0,176,15766,15766,20,darknet
1681742151,291,cuGetProcAddress_v2,0,177,15766,15766,20,darknet
1681742572,511,cuGetProcAddress_v2,0,178,15766,15766,20,darknet
1681743284,500,cuGetProcAddress_v2,0,179,15766,15766,20,darknet
1681743845,430,cuGetProcAddress_v2,0,180,15766,15766,20,darknet
1681744336,530,cuGetProcAddress_v2,0,181,15766,15766,20,darknet
1681744997,441,cuGetProcAddress_v2,0,182,15766,15766,20,darknet
1681745708,411,cuGetProcAddress_v2,0,183,15766,15766,20,darknet
1681746259,421,cuGetProcAddress_v2,0,184,15766,15766,20,darknet
1681746740,401,cuGetProcAddress_v2,0,185,15766,15766,20,darknet
1681747271,531,cuGetProcAddress_v2,0,186,15766,15766,20,darknet
1681747992,291,cuGetProcAddress_v2,0,187,15766,15766,20,darknet
1681748403,301,cuGetProcAddress_v2,0,188,15766,15766,20,darknet
1681748834,70,cuGetProcAddress_v2,0,189,15766,15766,20,darknet
1681748974,281,cuGetProcAddress_v2,0,190,15766,15766,20,darknet
1681749585,291,cuGetProcAddress_v2,0,191,15766,15766,20,darknet
